itemID,adminYear,Grade,Subject,Cycle,Released,inScaling,mainSurBlock,Key,maxPoints,codDomainXScaling,itemLabel,contentDomain2015,mainTopic2015,Topic,T15Bullet,Objective,a_est,a_se,b_est,b_se,c_est,c_se,d1_est,d1_se,d2_est,d2_se
M031346A,2011,4,M,3,Yes,Yes,M01,-,1,Applying,Trading Cards_Cartoon cards,Number,Whole Numbers,N1,4,N14,1.67486,0.06418,-0.33381,0.01997,,,,,,
M031346B,2011,4,M,3,Yes,Yes,M01,-,1,Reasoning,Trading Cards_Sports cards,Number,Whole Numbers,N1,4,N14,1.81802,0.07172,0.49427,0.01808,,,,,,
M031346C,2011,4,M,3,Yes,Yes,M01,-,2,Reasoning,Trading Cards_Max number of cards,Number,Whole Numbers,N1,4,N14,1.46465,0.04903,0.25962,0.0144,,,0.4084,0.02171,-0.4084,0.02312
M031379,2011,4,M,3,Yes,Yes,M01,-,1,Reasoning,Trading Cards_Trading sports cards,Number,Whole Numbers,N1,4,N14,1.11334,0.04965,0.83398,0.03132,,,,,,
M031380,2011,4,M,3,Yes,Yes,M01,-,1,Reasoning,Trading Card_Trading cartoon cards,Number,Whole Numbers,N1,4,N14,1.16473,0.05525,1.09103,0.03666,,,,,,
M031313,2011,4,M,3,Yes,Yes,M01,-,1,Applying,Total number of people on a ship,Number,Whole Numbers,N1,4,N14,0.65306,0.03253,-1.18692,0.06019,,,,,,
M031083,2011,4,M,3,Yes,Yes,M01,D,1,Knowing,Pieces of cardboard to make shape,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,2,G22,0.96915,0.06832,-0.49634,0.08184,0.2103,0.03631,,,,
M031071,2011,4,M,3,Yes,Yes,M01,B,1,Knowing,Position of shape after a 1/2 turn,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,1.00308,0.08942,0.64704,0.05541,0.20575,0.02216,,,,
M031185,2011,4,M,3,Yes,Yes,M01,D,1,Reasoning,Distance between towns using map,Number,Whole Numbers,N1,4,N14,1.71996,0.11942,0.1992,0.03482,0.23513,0.01887,,,,
M051305,2011,4,M,5,Yes,Yes,M02,A,1,Applying,How far did Duncan travel,Number,Fractions and Decimals,N2,3,N23,0.95691,0.0672,-0.16218,0.06751,0.18318,0.02893,,,,
M051091,2011,4,M,5,Yes,Yes,M02,D,1,Knowing,Find the inequivalent fraction,Number,Fractions and Decimals,N2,2,N22,1.50831,0.10738,0.51378,0.03414,0.18819,0.01572,,,,
M051001,2011,4,M,5,Yes,Yes,M02,-,1,Reasoning,Soccer tournament,Number,Whole Numbers,N1,5,N15,1.05548,0.04609,0.70248,0.03028,,,,,,
M051007,2011,4,M,5,Yes,Yes,M02,C,1,Reasoning,Number of hours to Brandon on bike,Number,Whole Numbers,N1,5,N15,1.1531,0.14406,1.27515,0.06286,0.26631,0.01615,,,,
M051203,2011,4,M,5,Yes,Yes,M02,-,1,Knowing,Multiply 23 and 19,Number,Whole Numbers,N1,3,N13,0.56141,0.03006,0.41344,0.04547,,,,,,
M051064A,2011,4,M,5,Yes,Yes,M02,-,1,Knowing,Complete the table,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,4,G14,0.85627,0.03637,-0.15468,0.03056,,,,,,
M051064B,2011,4,M,5,Yes,Yes,M02,-,1,Applying,Put an X where Troy lives,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,4,G14,0.90182,0.03793,-0.71948,0.0361,,,,,,
M051015,2011,4,M,5,Yes,Yes,M02,-,1,Applying,Complete Jay's shape,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.67146,0.03232,0.22058,0.03689,,,,,,
M051123,2011,4,M,5,Yes,Yes,M02,B,1,Knowing,Lines of symmetry complex figure,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.56699,0.07398,0.8541,0.11456,0.19046,0.03586,,,,
