itemID,adminYear,Grade,Subject,Cycle,Released,inScaling,mainSurBlock,Key,maxPoints,codDomainXScaling,itemLabel,contentDomain2015,mainTopic,Topic,Bullet,Objective,a_est,a_se,b_est,b_se,c_est,c_se,d1_est,d1_se,d2_est,d2_se
M032166,2011,8,M,3,Yes,Yes,M01,B,1,Knowing,Best estimate of (7.21x3.86)/10.09,Number,Fractions and Decimals,N2,5,N22,1.01516,0.07894,0.06007,0.06815,0.18768,0.02932,,,,
M032721,2011,8,M,3,Yes,Yes,M01,B,1,Reasoning,Sales of two types of soft drink,Data and Chance,Data Interpretation,D2,2,D22,0.94088,0.12558,1.27993,0.07769,0.2686,0.02101,,,,
M032757,2011,8,M,3,Yes,Yes,M01,-,2,Reasoning,Red&BlackTiles_Complete table,Algebra,Patterns,A3,1,A31,0.54036,0.01571,-0.34658,0.02975,,,-1.92152,0.09989,1.92152,0.0971
M032761,2011,8,M,3,Yes,Yes,M01,-,2,Reasoning,Red&BlackTiles_Figure n,Algebra,Algebraic Expressions,A1,4,A13,1.38082,0.0521,1.08521,0.02197,,,-0.09572,0.03329,0.09572,0.04195
M032692,2011,8,M,3,Yes,Yes,M01,-,2,Reasoning,Interior angles of pentagon ,Geometry,Geometric Shapes,G1,4,G14,0.68834,0.02159,0.92413,0.02999,,,-1.30193,0.0771,1.30193,0.08397
M032626,2011,8,M,3,Yes,Yes,M01,D,1,Knowing,36 as a product of prime factors,Number,Whole Numbers,N1,2,N13,0.93428,0.07519,0.30313,0.06577,0.15379,0.02669,,,,
M032595,2011,8,M,3,Yes,Yes,M01,C,1,Applying,The percentage of caps for sale,Number,"Ratio, Proportion and Percent",N3,3,N33,1.5498,0.1015,0.22007,0.03562,0.1371,0.01733,,,,
M032673,2011,8,M,3,Yes,Yes,M01,C,1,Knowing,If t is a number between 6 and 9,Algebra,Algebraic Expressions,A1,2,A11,1.45113,0.11012,0.41404,0.042,0.20099,0.01884,,,,
M032760A,2011,8,M,3,Yes,Yes,M01,-,2,Reasoning,Red&BlackTiles_Shape with 64 tiles,Algebra,Patterns,A3,1,A31,1.03985,0.03147,0.54574,0.01947,,,-1.08166,0.06437,1.08166,0.06644
M032760B,2011,8,M,3,Yes,Yes,M01,-,1,Reasoning,Red&BlackTiles_Shape with 49 tiles,Algebra,Patterns,A3,2,A31,1.74701,0.08012,0.87561,0.02485,,,,,,
M032760C,2011,8,M,3,Yes,Yes,M01,-,1,Reasoning,Red&BlackTiles_Shape with 44 tiles,Algebra,Patterns,A3,2,A31,1.88842,0.09417,1.10832,0.02695,,,,,,
M052216,2011,8,M,5,Yes,Yes,M02,B,1,Knowing,Select the decimal equal to 3/5,Number,Fractions and Decimals,N2,4,N21,1.33344,0.10025,-0.29357,0.06196,0.26236,0.03048,,,,
M052231,2011,8,M,5,Yes,Yes,M02,-,1,Knowing,Add 42.65 to 5.748,Number,Fractions and Decimals,N2,5,N22,0.69924,0.03662,-1.18167,0.05874,,,,,,
M052061,2011,8,M,5,Yes,Yes,M02,-,1,Applying,Packing eggs into boxes,Number,Whole Numbers,N1,3,N12,0.99177,0.0429,0.24896,0.03023,,,,,,
M052228,2011,8,M,5,Yes,Yes,M02,D,1,Applying,Method for subtracting fractions,Number,Fractions and Decimals,N2,5,N22,1.47516,0.09787,0.56949,0.03327,0.09807,0.01314,,,,
M052214,2011,8,M,5,Yes,Yes,M02,D,1,Knowing,Which number sentence is true,Number,Fractions and Decimals,N2,5,N22,1.19267,0.12997,1.05682,0.05764,0.26184,0.01782,,,,
M052173,2011,8,M,5,Yes,Yes,M02,A,1,Applying,Area of garden's shaded portion,Algebra,Algebraic Expressions,A1,4,A13,2.60202,0.2422,1.33502,0.02857,0.07637,0.00682,,,,
M052302,2011,8,M,5,Yes,Yes,M02,A,1,Knowing,Value of y in an expression,Algebra,Equations/ Formulas and Functions,A1,1,A11,1.07762,0.07698,-0.48639,0.0758,0.18526,0.03639,,,,
M052002,2011,8,M,5,Yes,Yes,M02,-,2,Applying,Length of the longest wood piece,Algebra,Equations/ Formulas and Functions,A2,6,A22,1.0828,0.03911,1.22968,0.02725,,,-0.50718,0.05031,0.50718,0.0602
M052362,2011,8,M,5,Yes,Yes,M02,-,1,Reasoning,What is the size of angle B,Geometry,Geometric Shapes,G1,5,G15,1.0931,0.04645,0.28099,0.02833,,,,,,
M052408,2011,8,M,5,Yes,Yes,M02,-,1,Reasoning,Value of angle b,Geometry,Geometric Shapes,G1,1,G11,0.89926,0.04158,0.62431,0.03644,,,,,,
M052084,2011,8,M,5,Yes,Yes,M02,A,1,Applying,Calculate the area of a square ,Geometry,Geometric Measurement,G2,2,G22,1.57947,0.10578,0.31149,0.03489,0.14283,0.01635,,,,
M052206,2011,8,M,5,Yes,Yes,M02,-,1,Reasoning,Number of books to fill the box,Geometry,Geometric Measurement,G2,2,G22,1.088,0.05023,0.8646,0.03514,,,,,,
M052429,2011,8,M,5,Yes,Yes,M02,A,1,Reasoning,Probability that the marble is red,Data and Chance,Chance,D3,2,D33,0.94126,0.08024,0.47604,0.06437,0.16801,0.02494,,,,
M052503A,2011,8,M,5,Yes,Yes,M02,-,1,Reasoning,Age structures of country X and Y,Data and Chance,Data Interpretation,D2,2,D22,0.64489,0.0392,1.48247,0.0789,,,,,,
M052503B,2011,8,M,5,Yes,Yes,M02,-,1,Reasoning,Problem of taking care of elderly,Data and Chance,Data Interpretation,D2,2,D22,0.56256,0.04056,1.83257,0.11266,,,,,,
M042032,2011,8,M,4,Yes,Yes,M03,B,1,Knowing,Equivalent fraction for 0.125,Number,Fractions and Decimals,N2,4,N21,0.91097,0.07425,-0.4644,0.10329,0.22722,0.04385,,,,
M042031,2011,8,M,4,Yes,Yes,M03,A,1,Applying,Equivalent expression,Number,Fractions and Decimals,N2,1,N21,1.67028,0.1364,0.47436,0.04009,0.25911,0.01747,,,,
M042186,2011,8,M,4,Yes,Yes,M03,-,1,Reasoning,Next line in the pattern,Number,Integers,A3,1,A31,1.08722,0.04604,0.18151,0.02803,,,,,,
M042059,2011,8,M,4,Yes,Yes,M03,-,2,Knowing,Complete the missing boxes,Number,"Ratio, Proportion and Percent",N3,2,N32,0.85233,0.02742,-0.02325,0.0217,,,-0.20921,0.04335,0.20921,0.04313
M042236,2011,8,M,4,Yes,Yes,M03,C,1,Knowing,Simplify the expression,Algebra,Algebraic Expressions,A1,3,A12,1.53203,0.11694,0.22076,0.04357,0.2427,0.02047,,,,
M042226,2011,8,M,4,Yes,Yes,M03,-,1,Knowing,What is the value P,Algebra,Equations/ Formulas and Functions,A1,1,A11,1.42096,0.05833,0.16287,0.02321,,,,,,
M042103,2011,8,M,4,Yes,Yes,M03,-,1,Knowing,Solve the inequality,Algebra,Equations/ Formulas and Functions,A2,3,A22,0.9852,0.05229,1.34115,0.05217,,,,,,
M042086,2011,8,M,4,Yes,Yes,M03,-,1,Applying,What is the value of 2a + 2b + 4,Algebra,Equations/ Formulas and Functions,A1,1,A11,1.25772,0.05388,0.53029,0.02756,,,,,,
M042228,2011,8,M,4,Yes,Yes,M03,-,1,Reasoning,Value of x in the pattern,Algebra,Patterns,A3,1,A31,0.80811,0.03825,0.52094,0.0385,,,,,,
M042245,2011,8,M,4,Yes,Yes,M03,D,1,Applying,Equation that satisfy number pairs,Algebra,Equations/ Formulas and Functions,A1,2,A11,1.87075,0.15792,1.0799,0.03382,0.12665,0.01016,,,,
M042270,2011,8,M,4,Yes,Yes,M03,-,1,Applying,Draw an isosceles triangle,Geometry,Geometric Shapes,G1,2,G12,0.94396,0.04121,0.04316,0.03081,,,,,,
M042201,2011,8,M,4,Yes,Yes,M03,-,1,Applying,Length of the rectangular box,Geometry,Geometric Measurement,G2,2,G22,1.35926,0.05593,0.11858,0.02388,,,,,,
M042152,2011,8,M,4,Yes,Yes,M03,D,1,Knowing,Half-turn around point O,Geometry,Location and Movement,G3,2,G32,0.72307,0.08331,0.71604,0.09907,0.21782,0.03264,,,,
M042269,2011,8,M,4,Yes,Yes,M03,C,1,Reasoning,Long jump competition,Data and Chance,Data Interpretation,D1,1,D11,0.74508,0.08285,0.20699,0.12716,0.29232,0.04142,,,,
M042179,2011,8,M,4,Yes,Yes,M03,D,1,Applying,Chance of getting a button,Data and Chance,Chance,D3,2,D33,0.85079,0.06714,-0.00993,0.08079,0.14931,0.03279,,,,
M042177,2011,8,M,4,Yes,Yes,M03,C,1,Applying,Number of regular size bottles,Data and Chance,Chance,N3,2,N33,1.05902,0.08443,0.11272,0.06545,0.20653,0.02793,,,,
M042207,2011,8,M,4,Yes,Yes,M03,-,2,Applying,Complete and label this pie chart,Data and Chance,Data Organization and Representation,D2,2,D21,0.40313,0.01227,-0.20973,0.03623,,,-2.85108,0.13653,2.85108,0.13504
M032094,2011,8,M,3,Yes,Yes,M05,A,1,Knowing,4/100 plus 3/1000,Number,Fractions and Decimals,N2,2,N21,1.33363,0.10537,0.03805,0.05692,0.28196,0.02565,,,,
M032662,2011,8,M,3,Yes,Yes,M05,D,1,Reasoning,Location of N on number line,Number,Fractions and Decimals,N2,3,N21,2.0847,0.20025,1.2823,0.03399,0.12993,0.00925,,,,
M032064,2011,8,M,3,Yes,Yes,M05,-,1,Applying,Ann and Jenny divide 560 zeds ,Number,Fractions and Decimals,N2,5,N22,1.43808,0.06264,0.69783,0.02603,,,,,,
M032419,2011,8,M,3,Yes,Yes,M05,C,1,Knowing,Which represents 2x plus 3x,Algebra,Algebraic Expressions,A1,4,A13,1.48974,0.13586,0.76799,0.04449,0.26293,0.01684,,,,
M032477,2011,8,M,3,Yes,Yes,M05,A,1,Knowing,Cost in zeds for taxi trip of n km,Algebra,Algebraic Expressions,A1,4,A13,1.87818,0.14948,0.5753,0.03429,0.23237,0.01533,,,,
M032538,2011,8,M,3,Yes,Yes,M05,-,1,Knowing,Find the value of y when t is 9,Algebra,Equations/ Formulas and Functions,A1,1,A11,1.40041,0.05806,0.22641,0.02386,,,,,,
